施術,先に受けた施術,次に受ける施術,部位条件,必要な間隔,同日可否,実施順,条件・例外,医師確認,基準版,先_別名,次_別名
そばかすスポット照射→HARG療法,そばかすスポット照射,HARG療法,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,そばかすスポット・そばかす・スポット照射・シミ・そばかす治療,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
フォトフェイシャル（光治療）→HARG療法,フォトフェイシャル（光治療）,HARG療法,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,フォト・フォトフェイシャル・光治療・IPL・ステラM22,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
赤み治療（血管腫レーザー）→HARG療法,赤み治療（血管腫レーザー）,HARG療法,同部位,治療完了後 2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,赤み治療・血管腫レーザー・赤ら顔・毛細血管拡張,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
ボトックス注射（通常）→HARG療法,ボトックス注射（通常）,HARG療法,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,ボトックス・ボトックス注射・ボツリヌストキシン・エラボトックス・小顔・シワ,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
マイクロボトックス→HARG療法,マイクロボトックス,HARG療法,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
テノールNEO（テノールネオ）→HARG療法,テノールNEO（テノールネオ）,HARG療法,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,テノールネオ・テノールNEO・テノール・たるみ・引き締め,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
フラルスキン（トレチノイン）→HARG療法,フラルスキン（トレチノイン）,HARG療法,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,フラルスキン・トレチ・トレチノイン・ハイドロキノン,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
部分シミ治療（トレチノイン）→HARG療法,部分シミ治療（トレチノイン）,HARG療法,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,部分シミ・トレチ・トレチノイン・シミ,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
mikoメソッド（首いぼ治療）→HARG療法,mikoメソッド（首いぼ治療）,HARG療法,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
ほくろ切除・ほくろ除去→HARG療法,ほくろ切除・ほくろ除去,HARG療法,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,ほくろ切除・ほくろ除去・ほくろ・ほくろ取り,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
ボライト（スキンブースター）→HARG療法,ボライト（スキンブースター）,HARG療法,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,ボライト・スキンブースター・ヒアルロン酸・ジュビダーム,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
稗粒腫（はいりゅうしゅ）除去→HARG療法,稗粒腫（はいりゅうしゅ）除去,HARG療法,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,稗粒腫・はいりゅうしゅ・ぶつぶつ・ブツブツ,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
ヴェルヴェットスキン→HARG療法,ヴェルヴェットスキン,HARG療法,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,ヴェルヴェットスキン・ヴェルヴェット・ベルベットスキン・ダーマペン・コラーゲンピール,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
ダーマペン4→HARG療法,ダーマペン4,HARG療法,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,ダーマペン・ダーマペン4・毛穴・ニキビ跡,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
HARG療法→HARG療法,HARG療法,HARG療法,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
スカルプ・プラセンタエッセンス→HARG療法,スカルプ・プラセンタエッセンス,HARG療法,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
コラーゲンピール（マッサージピール）→HARG療法,コラーゲンピール（マッサージピール）,HARG療法,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,コラーゲンピール・マッサージピール・PRX・ハリ,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
サーマクール→HARG療法,サーマクール,HARG療法,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,サーマクール・サーマ・たるみ・引き締め・リフトアップ,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
ミラドライ→HARG療法,ミラドライ,HARG療法,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,ミラドライ・ワキガ・腋臭・多汗症・わき汗,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
医療レーザー脱毛→HARG療法,医療レーザー脱毛,HARG療法,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,脱毛・医療脱毛・レーザー脱毛・全身脱毛・顔脱毛・VIO脱毛・ひげ脱毛・メンズ脱毛,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
タトゥー除去（刺青除去）→HARG療法,タトゥー除去（刺青除去）,HARG療法,同部位,3か月,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,タトゥー・タトゥー除去・刺青・いれずみ・入れ墨,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
アートメイク→HARG療法,アートメイク,HARG療法,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,アートメイク・眉アートメイク・リップアートメイク・タトゥーメイク,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛
ハイドラジェントル→スカルプ・プラセンタエッセンス,ハイドラジェントル,スカルプ・プラセンタエッセンス,不明,-（原表記）,不明,,原表は「-」ですが意味が明示されていないため、可否・間隔を断定できません,必要,20250309_秋田ver,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
ケミカルピーリング→スカルプ・プラセンタエッセンス,ケミカルピーリング,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,ピーリング・ケミカルピーリング・サリチル酸ピーリング,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
スマートサイドドットレーザー（2回目以降）→スカルプ・プラセンタエッセンス,スマートサイドドットレーザー（2回目以降）,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,スマサイ・スマートサイドドット・スマートサイドドットレーザー,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
スマートサイドドットレーザー（初回）→スカルプ・プラセンタエッセンス,スマートサイドドットレーザー（初回）,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,スマサイ・スマサイ初回・スマートサイドドット・スマートサイドドットレーザー,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
イボレーザー（炭酸ガス／CO2レーザー）→スカルプ・プラセンタエッセンス,イボレーザー（炭酸ガス／CO2レーザー）,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,CO2・CO2レーザー・炭酸ガスレーザー・イボレーザー・いぼレーザー・イボ取り,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
シミ取りレーザー→スカルプ・プラセンタエッセンス,シミ取りレーザー,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,シミレーザー・シミ取り・シミ取りレーザー・シミ治療,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
ADM治療（ピコレーザー）→スカルプ・プラセンタエッセンス,ADM治療（ピコレーザー）,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,ADM・ADMレーザー・ピコレーザー・ピコ・あざ治療・太田母斑,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
ADM治療（ナノレーザー・メドライトC6）→スカルプ・プラセンタエッセンス,ADM治療（ナノレーザー・メドライトC6）,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,ADM・ADMレーザー・ナノレーザー・メドライトC6・C6・あざ治療・太田母斑,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
レーザートーニング→スカルプ・プラセンタエッセンス,レーザートーニング,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
ピコトーニング→スカルプ・プラセンタエッセンス,ピコトーニング,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,ピコトーニング・ピコ・トーニング・肝斑・くすみ,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
ピコフラクショナル（1064nm）→スカルプ・プラセンタエッセンス,ピコフラクショナル（1064nm）,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
そばかすシャワー（532レーザー）→スカルプ・プラセンタエッセンス,そばかすシャワー（532レーザー）,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,そばかすシャワー・そばかす・532・そばかす治療,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
そばかすスポット照射→スカルプ・プラセンタエッセンス,そばかすスポット照射,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,そばかすスポット・そばかす・スポット照射・シミ・そばかす治療,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
フォトフェイシャル（光治療）→スカルプ・プラセンタエッセンス,フォトフェイシャル（光治療）,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,フォト・フォトフェイシャル・光治療・IPL・ステラM22,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
赤み治療（血管腫レーザー）→スカルプ・プラセンタエッセンス,赤み治療（血管腫レーザー）,スカルプ・プラセンタエッセンス,同部位,治療完了後 2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,赤み治療・血管腫レーザー・赤ら顔・毛細血管拡張,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
ボトックス注射（通常）→スカルプ・プラセンタエッセンス,ボトックス注射（通常）,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,ボトックス・ボトックス注射・ボツリヌストキシン・エラボトックス・小顔・シワ,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
マイクロボトックス→スカルプ・プラセンタエッセンス,マイクロボトックス,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
テノールNEO（テノールネオ）→スカルプ・プラセンタエッセンス,テノールNEO（テノールネオ）,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,テノールネオ・テノールNEO・テノール・たるみ・引き締め,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
フラルスキン（トレチノイン）→スカルプ・プラセンタエッセンス,フラルスキン（トレチノイン）,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,フラルスキン・トレチ・トレチノイン・ハイドロキノン,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
部分シミ治療（トレチノイン）→スカルプ・プラセンタエッセンス,部分シミ治療（トレチノイン）,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,部分シミ・トレチ・トレチノイン・シミ,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
mikoメソッド（首いぼ治療）→スカルプ・プラセンタエッセンス,mikoメソッド（首いぼ治療）,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
ほくろ切除・ほくろ除去→スカルプ・プラセンタエッセンス,ほくろ切除・ほくろ除去,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,ほくろ切除・ほくろ除去・ほくろ・ほくろ取り,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
ボライト（スキンブースター）→スカルプ・プラセンタエッセンス,ボライト（スキンブースター）,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,ボライト・スキンブースター・ヒアルロン酸・ジュビダーム,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
稗粒腫（はいりゅうしゅ）除去→スカルプ・プラセンタエッセンス,稗粒腫（はいりゅうしゅ）除去,スカルプ・プラセンタエッセンス,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,稗粒腫・はいりゅうしゅ・ぶつぶつ・ブツブツ,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
ヴェルヴェットスキン→スカルプ・プラセンタエッセンス,ヴェルヴェットスキン,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,ヴェルヴェットスキン・ヴェルヴェット・ベルベットスキン・ダーマペン・コラーゲンピール,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
ダーマペン4→スカルプ・プラセンタエッセンス,ダーマペン4,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,ダーマペン・ダーマペン4・毛穴・ニキビ跡,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
HARG療法→スカルプ・プラセンタエッセンス,HARG療法,スカルプ・プラセンタエッセンス,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,HARG・HARG療法・ハーグ・ハーグ療法・発毛・育毛・薄毛,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
スカルプ・プラセンタエッセンス→スカルプ・プラセンタエッセンス,スカルプ・プラセンタエッセンス,スカルプ・プラセンタエッセンス,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
コラーゲンピール（マッサージピール）→スカルプ・プラセンタエッセンス,コラーゲンピール（マッサージピール）,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,コラーゲンピール・マッサージピール・PRX・ハリ,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
サーマクール→スカルプ・プラセンタエッセンス,サーマクール,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,サーマクール・サーマ・たるみ・引き締め・リフトアップ,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
ミラドライ→スカルプ・プラセンタエッセンス,ミラドライ,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,ミラドライ・ワキガ・腋臭・多汗症・わき汗,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
医療レーザー脱毛→スカルプ・プラセンタエッセンス,医療レーザー脱毛,スカルプ・プラセンタエッセンス,別部位,翌日,不可,,括弧内の期間は別部位の場合。同部位の間隔はこのセルに明示されていません,必要,20250309_秋田ver,脱毛・医療脱毛・レーザー脱毛・全身脱毛・顔脱毛・VIO脱毛・ひげ脱毛・メンズ脱毛,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
タトゥー除去（刺青除去）→スカルプ・プラセンタエッセンス,タトゥー除去（刺青除去）,スカルプ・プラセンタエッセンス,同部位,3か月,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,タトゥー・タトゥー除去・刺青・いれずみ・入れ墨,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
アートメイク→スカルプ・プラセンタエッセンス,アートメイク,スカルプ・プラセンタエッセンス,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,アートメイク・眉アートメイク・リップアートメイク・タトゥーメイク,スカルプ・プラセンタ・プラセンタエッセンス・頭皮ケア・薄毛
ハイドラジェントル→コラーゲンピール（マッサージピール）,ハイドラジェントル,コラーゲンピール（マッサージピール）,面の治療との併用,初回：同日不可／2回目以降：同日可,条件付き,ハイドラを先に実施,初回は同日不可。問題がなかった場合は2回目以降で同日可,不要,20250309_秋田ver,ハイドラ・ハイドラフェイシャル・ハイドラクレンジング・毛穴洗浄,コラーゲンピール・マッサージピール・PRX・ハリ
ケミカルピーリング→コラーゲンピール（マッサージピール）,ケミカルピーリング,コラーゲンピール（マッサージピール）,同部位,3週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピーリング・ケミカルピーリング・サリチル酸ピーリング,コラーゲンピール・マッサージピール・PRX・ハリ
スマートサイドドットレーザー（2回目以降）→コラーゲンピール（マッサージピール）,スマートサイドドットレーザー（2回目以降）,コラーゲンピール（マッサージピール）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマートサイドドット・スマートサイドドットレーザー,コラーゲンピール・マッサージピール・PRX・ハリ
スマートサイドドットレーザー（初回）→コラーゲンピール（マッサージピール）,スマートサイドドットレーザー（初回）,コラーゲンピール（マッサージピール）,同部位,3週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,スマサイ・スマサイ初回・スマートサイドドット・スマートサイドドットレーザー,コラーゲンピール・マッサージピール・PRX・ハリ
イボレーザー（炭酸ガス／CO2レーザー）→コラーゲンピール（マッサージピール）,イボレーザー（炭酸ガス／CO2レーザー）,コラーゲンピール（マッサージピール）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,CO2・CO2レーザー・炭酸ガスレーザー・イボレーザー・いぼレーザー・イボ取り,コラーゲンピール・マッサージピール・PRX・ハリ
シミ取りレーザー→コラーゲンピール（マッサージピール）,シミ取りレーザー,コラーゲンピール（マッサージピール）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,シミレーザー・シミ取り・シミ取りレーザー・シミ治療,コラーゲンピール・マッサージピール・PRX・ハリ
ADM治療（ピコレーザー）→コラーゲンピール（マッサージピール）,ADM治療（ピコレーザー）,コラーゲンピール（マッサージピール）,同部位,治療完了後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ADM・ADMレーザー・ピコレーザー・ピコ・あざ治療・太田母斑,コラーゲンピール・マッサージピール・PRX・ハリ
ADM治療（ナノレーザー・メドライトC6）→コラーゲンピール（マッサージピール）,ADM治療（ナノレーザー・メドライトC6）,コラーゲンピール（マッサージピール）,同部位,治療完了後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ADM・ADMレーザー・ナノレーザー・メドライトC6・C6・あざ治療・太田母斑,コラーゲンピール・マッサージピール・PRX・ハリ
レーザートーニング→コラーゲンピール（マッサージピール）,レーザートーニング,コラーゲンピール（マッサージピール）,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,トーニング・レーザートーニング・メドライトC6・肝斑・くすみ,コラーゲンピール・マッサージピール・PRX・ハリ
ピコトーニング→コラーゲンピール（マッサージピール）,ピコトーニング,コラーゲンピール（マッサージピール）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコトーニング・ピコ・トーニング・肝斑・くすみ,コラーゲンピール・マッサージピール・PRX・ハリ
ピコフラクショナル（1064nm）→コラーゲンピール（マッサージピール）,ピコフラクショナル（1064nm）,コラーゲンピール（マッサージピール）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ピコフラクショナル・ピコフラク・1064・フラクショナル・毛穴・肌質改善・ニキビ跡,コラーゲンピール・マッサージピール・PRX・ハリ
そばかすシャワー（532レーザー）→コラーゲンピール（マッサージピール）,そばかすシャワー（532レーザー）,コラーゲンピール（マッサージピール）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすシャワー・そばかす・532・そばかす治療,コラーゲンピール・マッサージピール・PRX・ハリ
そばかすスポット照射→コラーゲンピール（マッサージピール）,そばかすスポット照射,コラーゲンピール（マッサージピール）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,そばかすスポット・そばかす・スポット照射・シミ・そばかす治療,コラーゲンピール・マッサージピール・PRX・ハリ
フォトフェイシャル（光治療）→コラーゲンピール（マッサージピール）,フォトフェイシャル（光治療）,コラーゲンピール（マッサージピール）,同部位,1週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,フォト・フォトフェイシャル・光治療・IPL・ステラM22,コラーゲンピール・マッサージピール・PRX・ハリ
赤み治療（血管腫レーザー）→コラーゲンピール（マッサージピール）,赤み治療（血管腫レーザー）,コラーゲンピール（マッサージピール）,同部位,治療完了後 2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,赤み治療・血管腫レーザー・赤ら顔・毛細血管拡張,コラーゲンピール・マッサージピール・PRX・ハリ
ボトックス注射（通常）→コラーゲンピール（マッサージピール）,ボトックス注射（通常）,コラーゲンピール（マッサージピール）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボトックス・ボトックス注射・ボツリヌストキシン・エラボトックス・小顔・シワ,コラーゲンピール・マッサージピール・PRX・ハリ
マイクロボトックス→コラーゲンピール（マッサージピール）,マイクロボトックス,コラーゲンピール（マッサージピール）,同部位,2週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,マイクロボトックス・ボトックス・マイクロ・毛穴・テカリ,コラーゲンピール・マッサージピール・PRX・ハリ
テノールNEO（テノールネオ）→コラーゲンピール（マッサージピール）,テノールNEO（テノールネオ）,コラーゲンピール（マッサージピール）,同部位,翌日,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,テノールネオ・テノールNEO・テノール・たるみ・引き締め,コラーゲンピール・マッサージピール・PRX・ハリ
フラルスキン（トレチノイン）→コラーゲンピール（マッサージピール）,フラルスキン（トレチノイン）,コラーゲンピール（マッサージピール）,同部位,1週間,同部位は不可／別部位は可,,トレチノインのみの場合／別部位の場合は同日可,不要,20250309_秋田ver,フラルスキン・トレチ・トレチノイン・ハイドロキノン,コラーゲンピール・マッサージピール・PRX・ハリ
部分シミ治療（トレチノイン）→コラーゲンピール（マッサージピール）,部分シミ治療（トレチノイン）,コラーゲンピール（マッサージピール）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,部分シミ・トレチ・トレチノイン・シミ,コラーゲンピール・マッサージピール・PRX・ハリ
mikoメソッド（首いぼ治療）→コラーゲンピール（マッサージピール）,mikoメソッド（首いぼ治療）,コラーゲンピール（マッサージピール）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,mikoメソッド・miko・ミコメソッド・首イボ・首いぼ・イボ,コラーゲンピール・マッサージピール・PRX・ハリ
ほくろ切除・ほくろ除去→コラーゲンピール（マッサージピール）,ほくろ切除・ほくろ除去,コラーゲンピール（マッサージピール）,同部位,上皮化後 4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ほくろ切除・ほくろ除去・ほくろ・ほくろ取り,コラーゲンピール・マッサージピール・PRX・ハリ
ボライト（スキンブースター）→コラーゲンピール（マッサージピール）,ボライト（スキンブースター）,コラーゲンピール（マッサージピール）,同部位,4週間,同部位は不可／別部位は可,,別部位の場合は同日可,不要,20250309_秋田ver,ボライト・スキンブースター・ヒアルロン酸・ジュビダーム,コラーゲンピール・マッサージピール・PRX・ハリ
